Name,Cost,Alt Cost,Expansion,Strikes,Image location
Cutpurse,4,0,SEASIDE,1,seaside/cutpurse.png
Embargo,2,0,SEASIDE,0,seaside/embargo.png
Explorer,5,0,SEASIDE,1,seaside/explorer.png
Fishing Village,3,0,SEASIDE,1,seaside/fishing_village.png
Ghost Ship,5,0,SEASIDE,1,seaside/ghost_ship.png
Haven,2,0,SEASIDE,1,seaside/haven.png
Island,4,0,SEASIDE,1,seaside/island.png
Lighthouse,2,0,SEASIDE,1,seaside/lighthouse.png
Lookout,3,0,SEASIDE,1,seaside/lookout.png
Merchant Ship,5,0,SEASIDE,0,seaside/merchant_ship.png
Native Village,2,0,SEASIDE,0,seaside/native_village.png
Navigator,4,0,SEASIDE,1,seaside/navigator.png
Outpost,5,0,SEASIDE,1,seaside/outpost.png
Pearl Diver,2,0,SEASIDE,0,seaside/pearl_diver.png
Pirate Ship,4,0,SEASIDE,1,seaside/pirate_ship.png
Salvager,4,0,SEASIDE,1,seaside/salvager.png
Sea Hag,4,0,SEASIDE,1,seaside/sea_hag.png
Smugglers,3,0,SEASIDE,1,seaside/smugglers.png
Tactician,5,0,SEASIDE,1,seaside/tactician.png
Treasure Map,4,0,SEASIDE,0,seaside/treasure_map.png
Treasury,5,0,SEASIDE,1,seaside/treasury.png
Warehouse,3,0,SEASIDE,1,seaside/warehouse.png
Wharf,5,0,SEASIDE,0,seaside/wharf.png
Alchemist,3,1,ALCHEMY,2,alchemy/alchemist.png
Apothecary,2,1,ALCHEMY,1,alchemy/apothecary.png
Apprentice,5,0,ALCHEMY,1,alchemy/apprentice.png
Familiar,3,1,ALCHEMY,0,alchemy/familiar.png
Golem,4,1,ALCHEMY,1,alchemy/golem.png
Herbalist,2,0,ALCHEMY,1,alchemy/herbalist.png
Philosopher's Stone,3,1,ALCHEMY,1,alchemy/philosophers_stone.png
Possession,6,1,ALCHEMY,1,alchemy/possession.png
Scrying Pool,2,1,ALCHEMY,1,alchemy/scrying_pool.png
Transmute,0,1,ALCHEMY,0,alchemy/transmute.png
University,2,1,ALCHEMY,1,alchemy/university.png
Vineyard,0,1,ALCHEMY,1,alchemy/vineyard.png
Bank,7,0,PROSPERITY,1,prosperity/bank.png
Bishop,4,0,PROSPERITY,1,prosperity/bishop.png
City,5,0,PROSPERITY,1,prosperity/city.png
Contraband,5,0,PROSPERITY,1,prosperity/contraband.png
Counting House,5,0,PROSPERITY,1,prosperity/counting_house.png
Expand,7,0,PROSPERITY,1,prosperity/expand.png
Forge,7,0,PROSPERITY,1,prosperity/forge.png
Goons,6,0,PROSPERITY,1,prosperity/goons.png
Grand Market,6,0,PROSPERITY,0,prosperity/grand_market.png
Hoard,6,0,PROSPERITY,1,prosperity/hoard.png
Kings Court,7,0,PROSPERITY,1,prosperity/kings_court.png
Loan,3,0,PROSPERITY,0,prosperity/loan.png
Mint,5,0,PROSPERITY,2,prosperity/mint.png
Monument,4,0,PROSPERITY,1,prosperity/monument.png
Mountebank,5,0,PROSPERITY,1,prosperity/mountebank.png
Peddler,8,0,PROSPERITY,1,prosperity/peddler.png
Quarry,4,0,PROSPERITY,0,prosperity/quarry.png
Rabble,5,0,PROSPERITY,1,prosperity/rabble.png
Royal Seal,5,0,PROSPERITY,1,prosperity/royal_seal.png
Talisman,4,0,PROSPERITY,0,prosperity/talisman.png
Trade Route,3,0,PROSPERITY,1,prosperity/trade_route.png
Vault,5,0,PROSPERITY,0,prosperity/vault.png
Venture,5,0,PROSPERITY,1,prosperity/venture.png
Watchtower,3,0,PROSPERITY,1,prosperity/watchtower.png
Workers Village,4,0,PROSPERITY,1,prosperity/workers_village.png
Stash,5,0,BGG,1,bgg/stash.png
Envoy,4,0,BGG,1,bgg/envoy.png
Black Market,3,0,BGG,0,bgg/black_market.png
